CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
,,1,2025,109229912.42
04439627000102,ALLIANZ SAÚDE S/A,1,2025,7578361.40
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,1,2025,1246023731.49
04487255000181,UNIMED SEGUROS SAÚDE S/A,1,2025,1202391325.43
04463083000106,ITAUSEG SAÚDE S.A.,1,2025,81422920.47
92693118000160,BRADESCO SAÚDE S.A.,1,2025,7463958959.19
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1,2025,5389092095.93
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,29300807.10
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,1,2025,28775128.99
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,1,2025,894847.39
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,1,2025,14434011.07
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,1,2025,8766036.19
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,1,2025,52597105.91
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,1,2025,13491672.45
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,1,2025,17465514.07
58119199000151,ODONTOPREV S/A,1,2025,170279874.46
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,1,2025,1416115825.95
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,1,2025,6221285.25
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,1,2025,9166449.72
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,1,2025,97260472.04
