CNPJ,RazaoSocial,Ano,Trimestre,ValorDespesas
04439627000102,ALLIANZ SAÚDE S/A,2025,1,757836140.00
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,2025,1,124602373149.00
04487255000181,UNIMED SEGUROS SAÚDE S/A,2025,1,120239132543.00
04463083000106,ITAUSEG SAÚDE S.A.,2025,1,8142292047.00
92693118000160,BRADESCO SAÚDE S.A.,2025,1,746395895919.00
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,2025,1,538909209593.00
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,2930080710.00
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,2025,1,2877512899.00
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,2025,1,89484739.00
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,2025,1,1443401107.00
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,2025,1,876603619.00
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,2025,1,5259710591.00
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,2025,1,1349167245.00
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,2025,1,1746551407.00
58119199000151,ODONTOPREV S/A,2025,1,17027987446.00
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,2025,1,141611582595.00
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,2025,1,622128525.00
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,2025,1,916644972.00
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,2025,1,9726047204.00
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,2025,1,1639757164.00
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,2025,1,10319645741.00
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,12299646438.00
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,2025,1,19176897644.00
64924095000112,SERMED-SAÚDE LTDA.,2025,1,4957820016.00
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,993904149.00
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,2025,1,37219964670.00
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,2025,1,3453196990.00
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,2025,1,1203727583.00
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),2025,1,2755980393.00
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,2025,1,213839837.00
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,2111832673.00
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,2789822490.00
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,2025,1,408850135.00
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,2025,1,2905657847.00
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,2025,1,1422679311.00
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,2025,1,240108988.00
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,2025,1,74529591811.00
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,2025,1,5884203880.00
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,2025,1,2251887922.00
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,2025,1,83478773.00
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,2025,1,2315269124.00
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,2025,1,649297185.00
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,2025,1,161724658.00
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,2025,1,238803800.00
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,2025,1,3733239681.00
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,2025,1,4409009732.00
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,2025,1,13619938050.00
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,2025,1,958454137.00
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,2025,1,4148328340.00
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,12870693045.00
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,2025,1,6055888430.00
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,2025,1,2671750129.00
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,2025,1,858310947.00
