CNPJ,RazaoSocial,Ano,Trimestre,ValorDespesas,RegistroANS,Modalidade,UF
04439627000102,ALLIANZ SAÚDE S/A,2025,1,757836140.00,000515,Seguradora Especializada em Saúde,SP
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,2025,1,124602373149.00,000582,Seguradora Especializada em Saúde,SP
04487255000181,UNIMED SEGUROS SAÚDE S/A,2025,1,120239132543.00,000701,Seguradora Especializada em Saúde,SP
04463083000106,ITAUSEG SAÚDE S.A.,2025,1,8142292047.00,000884,Seguradora Especializada em Saúde,SP
92693118000160,BRADESCO SAÚDE S.A.,2025,1,746395895919.00,005711,Seguradora Especializada em Saúde,RJ
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,2025,1,538909209593.00,006246,Seguradora Especializada em Saúde,RJ
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,2930080710.00,300136,Cooperativa Médica,RS
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,2025,1,2877512899.00,300713,Cooperativa Médica,SP
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,2025,1,89484739.00,300730,Odontologia de Grupo,PB
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,2025,1,1443401107.00,301060,Cooperativa Médica,MG
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,2025,1,876603619.00,301124,Cooperativa Médica,TO
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,2025,1,5259710591.00,301574,Cooperativa Médica,SP
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,2025,1,1349167245.00,301728,Medicina de Grupo,MG
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,2025,1,1746551407.00,301744,Cooperativa Médica,SC
58119199000151,ODONTOPREV S/A,2025,1,17027987446.00,301949,Odontologia de Grupo,SP
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,2025,1,141611582595.00,302147,Medicina de Grupo,SP
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,2025,1,622128525.00,302228,Cooperativa Médica,GO
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,2025,1,916644972.00,302627,Autogestão,PE
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,2025,1,9726047204.00,302953,Cooperativa Médica,RJ
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,2025,1,1639757164.00,303178,Cooperativa Médica,CE
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,2025,1,10319645741.00,303267,Cooperativa Médica,SP
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,12299646438.00,303356,Cooperativa Médica,SC
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,2025,1,19176897644.00,303623,Medicina de Grupo,SP
64924095000112,SERMED-SAÚDE LTDA.,2025,1,4957820016.00,303739,Medicina de Grupo,SP
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,993904149.00,303844,Cooperativa Médica,SP
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,2025,1,37219964670.00,303976,Cooperativa Médica,PA
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,2025,1,3453196990.00,304051,Cooperativa Médica,MG
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,2025,1,1203727583.00,304123,Cooperativa Médica,SP
